Filename,Page No.,यादी भाग क्रमांक (Yadi Bhag No.),यादी भागाच्या हद्दीचा तपशील (Content)
016-Shelar.pdf,1,0016,"wee PE भागाच्या हद्दीचा तपशील | शेलार, मराठी शाळेसमोर, जाधवनगर, टेलीफोन चाळ, | नदानमाता मंदिर जवळ, आदीवासी कॉलनी, स्वामी समर्थ मंदिर, आदिवासी वाडा, तळाव | पर, गांव, अपना नगर, नदिनाका, लतीफ कंपाऊड, अर्जुन नगर, सॉ मिल, जोगेमरी गांबठाण | मूळ गांव/शहर शेलार | सजा खोणी | मंडळ खारबांब |  "
017-Shelar.pdf,1,0017,"nee भागाच्या हद्दीचा तपशील शेलार, आदीवासी कॉलनी, | धवनगर केशवनगर, रोहीदास नगर, पोलीस पाटीळ चाळ, गंगामाता | र परिसर, परशुराम भाईर चाळ व मारूती स | मूळ गांव/शहर शेलार | सजा खोणी | मंडळ खारबांव |  "
018-Shelar.pdf,1,0018,"न. भागाच्या हद्दीचा तपशील शेलार, धाकला तलाब, चांगोनगर, | कंपनीसमोर बोरपाडागांव मूळ गांव/शहर शेलार | दी , बोरपाडा , बोरपाडा कासपाडा 4 | सजा खोणी | मंडळ खारबांब |  "
019-Gorsai.pdf,1,0019,"न. भागाच्या seta तपशील गोरसाई, वैभव चौक पुर्व बाजुस, | मूळ गांव/शहर गोरसई | प कार्याळय उत्तर बाजुस 4 व | सजा भिनार | मंडळ भिवंडी |  "
020-Gorsai.pdf,1,0020,"ee भागाच्या हद्दीचा तपशील सावंदे, ग्राम पंचायत कार्यालय, | मंदिराच्या पुर्वेस, लॉर्डस हेल्थ क्लबाचा दाणेस, शिवमंदिराच्या | चमेस, परि Sara उतरेस | मूळ गांव/शहर सावंदे | सजा भिनार | मंडळ भिवंडी |  "
021-Bhinar.pdf,1,0021,"न. भागाच्या हद्दीचा तपशील भिवंडी, हनुमान मंदिराच्या पुर्वेस - | मूळ गांव/शहर भिनार | सजा भिनार | मंडळ भिवंडी |  "
022-Bhinar.pdf,1,0022,"न. भागाच्या हद्दीचा तपशील भिवंडी, निंबबली व काशिवली | च्या पुर्व बा, अंगणवाडी येवहच्या उत्त्तरेस, अंगणवाडी येवईच्या | मूळ गांव/शहर निंबवली | सजा भिनार | मंडळ भिवंडी |  "
023-Khooni.pdf,1,0023,"न PE भागाच्या हद्दीचा तपशील | खोणी fast नगर, खोणी साईनाथ सोसायटी, खोणी मारूती | राजवळ, खोणी जि प शाळा खोणी गांव, खोणी कांबा रोडच्या दाणकडीळ भाग, खोणी एकता | 7 खाडीपार, खोणी साईनाथ कॉलनी मोठपाडा मांगा, चिकनीवाडा, भखाडपाडा दाभाड पाडा | मूळ गांव/शहर खोणी | सजा खोणी | मंडळ खारबांब |  "
024-Khooni.pdf,1,0024,"wee PE भागाच्या हद्दीचा तपशील | भखाडपाडा दाभाड पाडा, मीठपाडा, जिल्हापरिषद शाळे च्या | ल भाग, शिवसेना ऑफीस जवळ खोणी, बाळाराम पाटीळ चाळ, शांताराम भोईर चाळ, | नाथ पुडलीक पाटीळ कंपोऊंड, मीठवाडा, खोणी मंदिराजवळ, गोपीनाथ शेठ चाळ, बाळाराम | चाळ, भागसकरबागळ चाळ, बाबा सेठ चाळ, रवी शेठ चाळ | मूळ गांव/शहर खोणी | सजा खोणी | मंडळ खारबांब |  "
025-Khooni.pdf,1,0025,"न. भागाच्या हद्दीचा तपशील खोणी रसुळवाद, एस.टी.डी बुथ ते | राथी चाळ मूळ गांव/शहर खोणी | सजा खोणी | मंडळ खारबांव |  "
026-Khooni.pdf,1,0026,"न. भागाच्या हद्दीचा तपशील एस.टी.डी बुथ ते गुजराथी चाळ, | तीनगर, शाह आदम पॉली टेक्नीकल कॉलेजच्या मा, क्रान्तीनगर | पडपटटी बावर आर्ट चाळ | मूळ गांव/शहर खोणी | सजा खोणी | मंडळ खारबांव |  "
027-Khooni.pdf,1,0027,"आ भागाच्या हद्दीचा तपशील क्रान्तीनगर झोपडपटटी बावर आर्ट | ळ, खोणी महरूसेठ बिल्डींग ते अबुबुकर wept, नजमा अपार्टमेट | रची बिल्डीग SaaS, तुलसीनगर अन्सारी चाळ इलीयास कुरेशी, | कुर क पाऊन्ड चिराग बिल्डींग कान्तीनगू | मूळ गांव/शहर खोणी | सजा खोणी | मंडळ खारबांव |  "
028-Khooni.pdf,1,0028,"न. भागाच्या हद्दीचा तपशील क्रान्तीनगर झोपडपटटी बावर आर्ट | मूळ गांव/शहर खोणी | ळ, खोणी तगार पाडा, तुलसीनगर 4 | सजा खोणी | मंडळ खारबांब |  "
029-Khooni.pdf,1,0029,"न भागाच्या हद्दीचा तपशील क्रान्तीनगर झोपडपटटी बावर आर्ट | ळ, माळीवाडा खोणी, तगार पाडा, मंदाबाई शकळकर चाळ, | ळकर चाळ, वत्सळा बाई लोहार चाळ, जोहराबाई चाळ, लमीबाई | ळ, अमीनाबाग | मूळ गांव/शहर खोणी | सजा खोणी | मंडळ खारबांव |  "
030-Khooni.pdf,1,0030,न. भागाच्या हद्दीचा तपशील आकरम मस्जिद खडडा खोणी | Sua मूळ गांव/शहर खोणी | सजा खोणी | मंडळ खारबांव |  
031-Khooni.pdf,1,0031,"न भागाच्या हद्दीचा तपशील रसूलबाद खोणी , | सूलबार मूळ गांव/शहर खोणी | सजा खोणी | मंडळ खारबांव |  "
032-Khooni.pdf,1,0032,न. भागाच्या हद्दीचा तपशील रसुलबाद खोणी - | मूळ गांव/शहर खोणी | सजा खोणी | मंडळ खारबांव |  
033-Brahmanpada.pdf,1,0033,"mae भागाच्या हद्दीचा तपशील पाये ते ब्राहणपाडा नाईक पाडा | री, खडीमशीन ते नाईक पाडा, नाईक पाडा रोड पासुन ते ब्राम्हण | 5, ब्राम्हण पाडा रोडपासुन ते जुनी नवीन | मूळ गांव/शहर पाये | सजा खारबांव | मंडळ खारबांव |  "
034-Paye.pdf,1,0034,"न भागाच्या हद्दीचा तपशील पाये संपूर्ण गांब, det आळी से , | मूळ गांव/शहर पाये | सजा खारबांब | मंडळ खारबांब |  "
035-Kharbamb.pdf,1,0035,"a भागाच्या हद्दीचा तपशील खारबांव जुने गावांचा परीसर, | HT जुने गांवाचा परिसर, खारबांव परिसर, खारबांव ग्रा प परिसर | ली आळी जि पू, राममंदिर जवळून ते प्रा आरोग्य केनू, जि प शाळे | iS मधली आळी ते प्रा आरा | मूळ गांव/शहर खारबांव | सजा खारबांव | मंडळ खारबांव |  "
036-Kharbamb.pdf,1,0036,"च PE भागाच्या हद्दीचा तपशील | खारबांव परिसर, जि प शाळे जवळ मधली आळी ते प्रा आरा, | ल पंपा पासुन ते ग्रा प कार्याळय्‌, पाटीळ मधली आळी Va हॉल ते, राममंदिर ते फिरिंग | [ रोड व देवी, टेलीफोन ऐक्सचेंज ते खाळची आळी, दत्त आळी ते रेल्वेगेट पर्यंत, रेल्वे गेट | प्र, रामपाटील आळी ते रामआळी परिसर, देवीचा पाडा रोड ते पेट्रोल पंप हो | मूळ गांव/शहर खारबांव | सजा खारबांब | मंडळ खारबांब |  "
037-Malody.pdf,1,0037,"न भागाच्या हद्दीचा तपशील माळोडी गांव, हायवेरोड से | लपाडा पर्यंत, टोलनाका ते मालोडी गाव संपुर्ण गा, मालोडी रोड | रावत्याचा पाडापरिसर | मूळ गांव/शहर मालोडी | सजा खारबांब | मंडळ खारबांब |  "
038-Vadu_Navghar.pdf,1,0038,"न. भागाच्या हद्दीचा तपशील वरची आळी, पाटीळ आळी, वडु | मूळ गांव/शहर वडुनवघर वघर | ळी, मानपाडा व मानपाडा रोड 4 ca | सजा कारीवली | मंडळ खारबांब |  "
039-Vadu_Navghar.pdf,1,0039,"nee भागाच्या हद्दीचा तपशील पाटीळ आळी, खालची आळी, | मूळ गांव/शहर वडुनवघर | ची आळी, Fg आळी, मानपाडा व मानपाडा रोड 4 डन | सजा कारीवली | मंडळ खारबांब |  "
040-Karivali.pdf,1,0040,"न भागाच्या हद्दीचा तपशील | कारीवली जि प शाळेजवळ, कारीवली मारूति नाईक चाळ, | वली पाण्याचा टाकी जवळ, कारीवली पाण्याचा टाकी जवळ गा, कारीवली गोविंद चाळ नरेश | 5, कारीवली शंकर मंदिरा जवळ, कारीवली बाबू म्हात्रे चाळ, कारीवली Sax पाटीळ जुनेघर, | वली शि स्टॉफ जवळ, कारीवली मारूति कोल्हा Tels धराजवळ, कारीवली सखाराम | क चाळ, कारीवली करसन नाईक चाळ, कारीवली अरूण नाईक चाळ, कारीवली विजय तांगडी | 5, कारीवली लिलाबाई चाळ सरू चाळ, कारीवली देवदास चौघुले घर चाळ, कारीवली अरूण | [राम नाईक चाळ युवर, कारीवली POT रामू पाटीळ चाळ सदानंउ, कारीवली बजरंग हैदर चाळ, | वली पंडीत पाटील चाळ, कारीवली हनुमान मंदिर जवळ, कारीवली दयानंद पाटीळ चाळ | नाथ 1, कारीवली सुरेश नाईक चाळ, कारीवली नारायण बाळा चाळ, कारीवली सुकुर भोईट | "
041-Karivali.pdf,1,0041,"न. भागाच्या हद्दीचा तपशील कारीवली, कारीवली वसंतनगा, | रीवली आजमी नगर, कारीवली टावेर कंपाऊड, कारीवली 72 | ठा आजमी नगर | मूळ गांव/शहर कारीवली | सजा कारीवली | मंडळ खारबांब |  "
042-Karivali.pdf,1,0042,"न. भागाच्या हद्दीचा तपशील हनुमान मंदिरा जवळ, गावदेवी | रा जवळ कारीवाली, आदिवासी पाडा कारिवाडी, वसंतनगर | रिवाडी, सुभाषनगर कारिवाडी | मूळ गांव/शहर कारीवली | सजा कारीवली | मंडळ खारबांव |  "
043-Kambe.pdf,1,0043,"— भागाच्या हद्दीचा तपशील | गवणीचा पाडा, गवणी पाडा, लेळवणे कपाऊंड मारूती मंदिर | ळ, गवळी आळी, तेलवले कंपाऊड, न्हावी आळी, Sh जवळ, तेलवले कपांउड मारूती मंदिर | ळ, ब्राम्हणची उतरक, कोळी वाडा, Sle वाडा, कोली वाडा, नहावी आळी, आगरी आळी, | शाची चाळ, भहीचे मैदान, दापोडकर चाळ, पाडुरंग पायकर चाळ, जि प शाळे समोर, चिंच | ठी, कुमार आळी, विठ्ठल मंदिरा जवळ, जि.प.शालेचे मागे, कोळी वाडा, बँके जवळ, जि प | मागे, ब्राम्हणाची उतरण, AAT कपाऊड, राइबाई चाळ, राधाकृष्ण मंदिर समोर, वारली पाडा | मूळ गांव/शहर कांबे | सजा जुनादुर्खी | मंडळ खारबांव |  "
044-Kambe.pdf,1,0044,"न PE भागाच्या हद्दीचा तपशील , wa | गवणीचा पाडा, वळणाचापाडा, THER, दहयाळे पाडा, वळनाचा | मूळ गाव/शहर | , गवणी वाडा, वळणाचा पाडा, नाथाशेठ बगला, गवणी पाडा, ताबडमाळ, तेलवणेकपाऊड | ती मंदिर जव, गणु नगर, तेलवणे कपाऊड, तेलबणे कपाउड मारूती मंदिर जवळ, राईबाई चाळ wil जुनादुखी | मंडळ खारबांव |  "
045-Kambe.pdf,1,0045,"न. भागाच्या हद्दीचा तपशील वारली गवणीचा पाडग, गणु नगर, | ळी आळी, गवणीचा पाडा, आगरी आळी, खुरळचा भाळ, रूपाल | बर हाऊसचे बाजुस, बँके शेजारी, तळवली, पावरहाऊस जवळ, | याले पाडा | मूळ गांव/शहर कांबे | सजा जुनादुर्खी | मंडळ खारबांव |  "
046-B.N.M.P._Ward.pdf,1,0046,"a भागाच्या हद्दीचा तपशील | समदनगर, आर एन कपाउड रोड आबिद रोड हनुमान, झेड | Ne रोड हनुमान मंदिर आर WAY, बैलुल अर्पाटमेन्ट झेडआबिद रोड हुद, झेड आबिद रोड | महमद अपार्टमेन्ट, झेड आबीद रोड इदन अपार्टमेन्ट, झेड आबीद रोड नसीबा अपार्टमेन्ट, झेड | बद रोड आयशा अपार्टमेन्ट, झेड आबिद रोड युनुस अपार्टमेन्ट, झेड आबिद रोड फातमा | र्टमेन्ट, झेड आबिद चौक कनेरी पोलीस स्टेशनज, आर एन कपाउडच्या आन हनुमान मंदिरसम, | आबिद रोड अन्सार मोहल्ला, समदिया हायसकूल रोड हाजरा अपार्टमे, समदिया हायस्कूल | T पाठीमागे कणेरी, कणेरी खल्ला जवलील चाळ नाल्या जवल | मूळ गांव/शहर | मंडळ भिवंडी |  "
047-B.N.M.P._Ward.pdf,1,0047,"री भागाच्या SEPA तपशील | समदनगर, कणेरी खल्ला जवलील चाळ नाल्या जवल, मजीदे हुदा| मूळ गाव/शहर | मोरीम वेल्फर सोसस, मजीदे gat रोड फातीमा अपार्टमेन्ट, राबीया मजीदेरोड नाका झोपडपटटी | दा Sal रोड हबीब अपार्टमेन्ट सम, मजीदा हुदा रोड फातमा अपार्टमेन्ट सम, मजीदा हुदा रोड | जा अपार्टमेन्ट सम, मजीदा हुदा रोड मोमीन अपार्टमेन्ट सम्‌, मजीदा gar रोड जैतुन अपार्टमेन्ट भिवंडी | मजीदा हुदा रोड हाजरा अपार्टमेन्ट, मजीदा हुदा रोड खातुन अपार्टमेन्ट सम, बंगाळपुरा, हाजरत | WSS भिवंडी | अमरिशहा रोड सकीना मंजी, समद सेठ बगीचा मेहरूनिसा अपार्टमेन्ट, राबीया मजीद रोड भिवंडी | दशेठबगीचा SA, राबीया मजीद रोड सोनी होम अपार्टमे्‌  "
048-B.N.M.P._Ward.pdf,1,0048,"wee PE भागाच्या हद्दीचा तपशील , | बंगाळपुरा, राबीया मजीद रोड सोनी होम अपार्टमें, राबीया मजीद | मूळ गाव/शहर | शमीम अपार्टमेन्टू, राबीया मजीद रोड सोनी फौरम विला अ, राबीया मजीद रोड सोनी विला | eA, राबीया मजीद रोड सोनी मंजिल अपार्टम्‌,, बंगालपुरा इस्लामाबाद मस्जीद समोर क॑1 | "
