Filename,Page No.,Yadi Bhag No.,Boundary Description (Marathi)
020-Kamathipura_7th_Street.pdf,1,0020,"1 अ)सुखलाजी मार्ग म्यु.घ.नं.74-100(मनिवि-28)खंड-4, 2 ब)जयराजभाई लेन,म्यु.घ.नं.29-35(मनिवि-28)खंड-3, 3 क)मौलाना शौकत अली सजा रोड 284-294 (मनिवि 28) खंड 7"
021-Kamathipura_7th_Street.pdf,1,0021,"1अ)परशुराम पुपाला मार्ग(बाप्टी रोड)265 ते 285(मनिवि20)खंड-1, 2 ब)मोहम्मद ताहिर अंसारी मार्ग (अरब लेन)म्यु.घ.नं.16ए ते 22 (मनिवि20) खंड-3"
022-Kamathipura_7th_Street.pdf,1,0022,"1अ) बापुराव मार्ग (फॉकलंडरोड)म्यु.घ.नं.65 ते 83 डी(मनिवि20)खंड-7,2 ब)सुखलाजी मार्ग म्यु.घ.नं.32(मनिवि-28) खंड 6"
023-Kamathipura_7th_Street.pdf,1,0023,"1अ)परशुराम पुपाला मार्ग (बाप्टी रोड)म्यु.घ.नं.292 ते 388(मनिवि-28)खंड-2, 2ब)कामाठीपुरा 10वी गल्ली,5-45(मनिवि29)खंड-2, 3 क)कामाठीपुरा सजा 12वी गल्ली,50-52(मनिवि29)खंड-2, 4 ड) 13वी गल्ली 44-90(मनिवि-29)खंड-2, 5 सजा इ)चंद्रमणी बुध्द विहारमार्ग 3-5 (मनिवि2०9)खंड-2"
024-Kamathipura_7th_Street.pdf,1,0024,"1)परशुराम पुपाला मार्ग 293 ते 395(मनिवि-20)खंड-3"""
025-Jehangir_Boman_Behram_Marg.pdf,1,0025,"1अ) बोमन बेहराम मार्ग 225-261 (मनिवि29)खंड3, 2 ब)वसांवा मार्ग, 3 ते 13,व 221 (मनिवि29) खंड 1, 3 क) कामाठीपुरा 15वी सजा गल्ली,3ते32(मनिवि29) खंड-1, 4 ड)कामाठीपुरा 11वी गल्ली,म्यु.घ.न॑.1-73(मनिवि29)खड-2, 5 इ)सुखलाजी स्ट्रीट,म्यु.घ.नं.31-45(मनिवि29)खंड-9, 6 फ़)चंद्रमणी बुध्दविहार मार्ग,(स्टेबल स्ट्रीट)4-10(मनिवि2%)खंड-"
026-Jehangir_Boman_Behram_Marg.pdf,1,0026,"1अ)सुखलाजी स्ट्रीट,म्यु.घ.नं. 103 ते 153 (मनिवि29) खंड 7, 2ब)कामाठीपुरा 10वी गल्ली,51ते67(मनिवि29) खंड-1, 3 क)कामाठीपुरा 13वी गल्ली,39ते91(मनिवि 29) खंड 1, 4 ड)कामाठीपुरा 14वी गल्ली,47ते73 व शांती नगर झोपडपट्टी (मनिवि 29) खंड 3"
027-Jehangir_Boman_Behram_Marg.pdf,1,0027,"1अ)कामाठीपुरा 11वी गल्ली,म्यु.घ.नं.6ते68 (मनिवि29)खंड1, 2ब)कामाठीपुरा 14वी गल्ली,1ते45 (मनिवि29)खंड1"
028-Jehangir_Boman_Behram_Marg.pdf,1,0028,"1.अ)कामाठीपुरा 14वी गल्ली,2ते38(मनिवि 29) खंड 2, 2ब)सुखलाजी मार्ग,77ए ते101ए(मनिवि29)खंड-8, 3 क) आर.एस.निमकर मार्ग,23ते31(मनिवि29) खंड-6"
029-Kamathipura_7th_Street.pdf,1,0029,"1अ)कामाठीपुरा 7 बी गल्ली 4-72 (मनिवि-29) खंड, 2 ब)कामाठीपुरा 12वी गल्ली27-35 (मनिवि29)खंड-2, 3क)कामाठीपुरा 12 वी गल्ली 39-51 सजा (मनिवि29)खंड-3, 4 ड)कामाठीपुरा 12 बी गल्ली 2 -46 (मनिवि29)खंड-4"
030-Kamathipura_7th_Street.pdf,1,0030,"1अ)कामाठीपुरा 3री गल्ली 77-91ए (मनिवि29)खंड-1, 2 ब)कामाठीपुरा 10वी गल्ली 6-68 (मनिवि29)खंड-3, 3 क)कामाठीपुरा 13वी गल्ली 14-34 सजा (मनिवि29)खंड-3"
031-Kamathipura_7th_Street.pdf,1,0031,"1अ)कामाठीपुरा गल्ली 7ते51,(मनिवि29)खंड2, 2ब)कामाठीपुरा गल्ली 2ते36,(मनिवि29)खंड1"
032-Kamathipura_7th_Street.pdf,1,0032,"1अ)कामाठीपुरा गल्ली,म्यु.घ.नं.73ते115,(मनिवि29)खंड1, 2ब)कामाठीपुरा गल्ली,म्यु.घ.नं.3ते65,(मनिवि29)खंड1"
033-Kamathipura_7th_Street.pdf,1,0033,"1अ)कामाठीपुरा 3री गल्ली,74-76(मनिवि-29) खंड-2, 2(ब)कामाठीपुरा गल्ली 78-98 (मनिवि29) खंड-2, 3(क)कामाठीपुरा गल्ली 2-52 सजा (मनिबि29) खंड-2, 4 ड)कामाठीपुरा 5 बी गल्ली 72-146(मनिवि29)खंड-2, 5 ई)आर.एस.निमकर मार्ग 2-30 (मनिवि29)खंड-7"
034-Kamathipura_7th_Street.pdf,1,0034,"1अ)कामाठीपुरा 6वी गल्ली,8-62(मनिवि29)खंड1, 2ब)कामाठीपुरा 8वी गल्ली,1-51(मनिवि29)खंड3"
035-Kamathipura_7th_Street.pdf,1,0035,"1अ)कामाठीपुरा गल्ली,55ते103, (मनिवि 29) खंड 4, 2ब)कामाठीपुरा 13वी गल्ली,93ते105 (मनिवि-29) खंड-4, 3क)शंकरराव पुपाला मार्ग 2ते54 (मनिवि-29) खंड-1"
