Filename,यादी भागाच्या हद्दीचा तपशील (Content),OCR Confidence,Status,Issues
109-Sant_Savata_Marg_Byculla.pdf,शा भागाच्या हद्दीचा तपशील अ) ई.एस.पाटणबाल मार्ग म्यु.घ.31 ते 35 आणि म्यु शाळे समोरील झोपडपट्टी ब रामभाऊ भोगले मार्ग म्यु.घ.नं.4 ते 10 क) संत सावता मार्ग पहिली क्रांस लेन,90.4,ok,
a,,0.0,error,"Unable to get page count.
I/O Error: Couldn't open file 'a': No such file or directory.
"
