"Filename","MumNo"
"001-Keshavrao_Khade_Road.pdf","म्यु.घ.नं.91 ते 105","अ)साने गुरूजी मार्ग 307ए ते 327 (म.न.वि.36)खंड1! ब) क.खा.मार्ग म्यु.घ.नं.91 ते 105","82.8","ok",""
"002-Keshavrao_Khade_Road.pdf","म्यु.घ.नं.386, म्यु.घ.नं.326 ते 342, म्यु.घ.नं.173 ते 209 ","अ)गुरूजी मार्ग दादाजी धाकजी कं.प्रा.लि.जवळील झोपडपट्टी ते.म्यु.घ.नं.386 पत्रा चाळ व पत्रा चाळ जवळील झोपडपट्टी रामसिंह गैरेज ब) साने गुरूजी मार्ग म्यु.घ.नं.326 ते 342 ब म्यु.घ.नं.173 अलमास अपार्टमेंट ते 209 आकाश अपार्टमेंट","88.8","ok",""
"003-Farooq_S_Umar_Bhai_Path.pdf","म्यु.घ.नं.54 ई ते म्यु घ.नं.108","अ)मौलाना आझाद रोड Maret चाळ (मनिवि36) खंड 1 ब) मोलाना आझाद रोड म्यु.घ.नं.54 ई ते म्यु घ.नं.108","80.2","ok",""
"004-Farooq_S_Umar_Bhai_Path.pdf","म्यु.घ.नं.क्रं.2 ते 26 ए","आर.बी.चांदोरकर मार्ग म्यु.घ.नं.क्रं.2 ते 26 ए","74.8","ok",""
"005-Farooq_S_Umar_Bhai_Path.pdf","म्यु.घ.नं.15 ते 23","अ) मोस्ट्रीट म्युघ.नं.1-11 ब 4-8 ब) मो.स्ट्रोट क) मो.आ.रोड Male Huss जवळील झोपडपट्टी ब हिंदुस्तान मिलजवळील झोप.ड) फा.एस.उमरभाई पथ म्यु.घ.नं.15 ते 23","80.3","ok",""
"006-Farooq_S_Umar_Bhai_Path.pdf","म्यु.घ.नं.3 ते 7","माधबराब गांगण मार्ग म्यु.घ.नं.3 ते 7","83.1","ok",""
"007-Farooq_S_Umar_Bhai_Path.pdf","म्यु.घ.नं.4 ते 6, म्यु.घ.नं.16 ई ते 22","अ) माधवराव गांगण मार्ग म्यु.घ.नं.4 ते 6 ब) माधवराव गांगण मार्ग म्यु.घ.नं.16 ई ते 22","83.7","ok",""
"008-Farooq_S_Umar_Bhai_Path.pdf","म्यु.घ.नं.11 ते 57, म्यु.घ.नं.2 ते 8","अ) मोहम्मद शहिद मार्ग (मोरलॅण्ड रोड) म्यु.घ.नं.11 ते 57 ब)मोहम्मद शहिद मार्ग (मोरलॅण्ड रोड) म्यु.घ.नं.2 ते 8","87.6","ok",""
"009-Farooq_S_Umar_Bhai_Path.pdf","म्यु.घ.नं.3, म्यु.घ.नं.! ते 22, म्यु.घ.नं.65 ते 75","अ) फारुख एस उमरभाई पथ म्यु.घ.नं.3 बी.आय.टी.चाळ नं.8 ते 7 बी, बी.आय.टी.चाळ नं.12 ब) मोहम्मद शहोद मार्ग (मोरलॅण्ड रोड) LTA. 87 ते 89 एफ क) मोटली बाई स्ट्रोट म्यु.घ.नं.! ते 22 ड) मोहम्मद शहीद मार्ग (मोरलॅण्ड रोड) सेंट ऑन्ड्यूज चर्च जवळोल BRST गांधी झोपडपट्टी इ) मोहम्मद ele मार्ग (मोरलॅण्ड रोड) म्यु.घ.नं.65 ते 75 न्यू पत्रा शेड गं.1","88.0","ok",""
"010-Farooq_S_Umar_Bhai_Path.pdf","म्यु.घ.नं.1 ते 5","अ) आर.बी.चांदोरकर मार्ग म्यु.घ.नं.1 ते 5 ब) मेघराज सेठी मार्ग आय टी चाळ नं.4 ते 30-32 भायखळा नर्सिंग होम","89.3","ok",""
