filename,page,content,confidence,original_content
024-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,अ) मौलाना आझाद रोड म्युनिसिपल घर 122 ते 196 ब) जहांगीर बोमन बेहराम मार्ग म्युनिसिपल घर 216 ते 254 | क) मौलाना आझाद रोड म्युनिसिपल घर 78 ते 94 बी,90,
025-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,अ) मोहम्मद उमर रजब रोड म्युनिसिपल घर 25 ते 55 | ब) महंमद उमर रजब रोड म्युनिसिपल घर 26 अ ते 52 ए.,87,
026-2nd_Ghelabhai_Street_Madanpura.pdf,1,अ) शेख हफीज उद्दीन रोड (साखळी स्ट्रीट) म्युनिसिपल घर 69 ते अब्दुल हाऊस | ब) मौलाना आझाद रोड म्युनिसिपल घर 222 ते 258 क) मौलाना आझाद रोड म्युनिसिपल घर 236 डी ते पटेल आणि सोनी आर्किटेक,92,
027-Jehangir_Boman_Behram_Marg.pdf,1,अ) महंमद शहिद मार्ग (मोरलॅण्ड रोड) म्युनिसिपल घर 59 अ ते 65-75 हाजी चाळ | ब) जहांगीर बोमन बेहराम मार्ग म्युनिसिपल घर 254 ते 272 ए,92,
028-Mirza_Ghalib_Byculla.pdf,1,"अ) स्पेन रोड | ब) शेफर्ड रोड, म्युनिसिपल घर 4 ते 10 | क) सर जमशेद जी जिजीभाई रोड म्युनिसिपल घर 310 ते 332 सी.",90,
029-Mirza_Ghalib_Byculla.pdf,1,"अ) जमशेदजी जिजीभाई रोड, म्युनिसिपल घर 311 ए ते 333 पर्यंत | ब) क्रिस्ट चर्च रोड",90,
030-Mirza_Ghalib_Byculla.pdf,1,मिर्जा गालीब मार्ग (क्लेअर रोड) म्युनिसिपल घर 17 ते जेल पोलीस लेन,92,
031-Sant_Savata_Marg_Byculla.pdf,1,अ) संत सावता मार्ग म्युनिसिपल घर 41 ते 119 एफ | ब) सिताफळवाडी म्युनिसिपल घर 1 ते 17 ब-क) संत सावता मार्ग म्युनिसिपल घर 95 ते 167 आणि मशिना हॉस्पीटल नर्स कवार्टर्स | ड) सिताफळ वाडी म्युनिसिपल घर 2 ते 24,90,
032-Sant_Savata_Marg_Byculla.pdf,1,अ) डॉ. बाबासाहेब आंबेडकर रोड म्युनिसिपल घर 267 ते 297 | ब) डॉ. बाबासाहेब आंबेडकर रोड म्युनिसिपल घर क्रमांक 150 ते 218 क) डॉ. मस्करेन्स रोड म्युनिसिपल घर 82 ते 128-130 आगाखान बिल्डिंग,90,
033-170-192_Dr_Mascarenance_Road_Mazgaon.pdf,1,"अ) डॉ. मस्करेहन्स रोड म्युनिसिपल घर 138 आदमजी भाई रंगवाला चाळ ते 140 गूरू हिंमत को-ऑपरेटिव्ह सोसायटीब) म्युनिसिपल क्रमांक 200 बी सी पदमसी वाडी, म्युनिसिपल घर 206 ते 216 बोमन बेहराम बि. क) म्युनिसिपल घर 142 ते 154 न्यू चाळ श्रॉफ बिल्डींग ते म्युनिसिपल घर 200 मन्जी मेन्शन",92,
