Filename,Page No.,यादी भाग क्रमांक (Yadi Bhag No.),यादी भागाच्या हद्दीचा तपशील (Content)
018-Mohammad_Shaheed_Marg_(Moreland_Road).pdf,1,0018,"यादी भागाच्या हद्दीचा तपशील अ)फारूख एस.उमरभाई पथ A. | घ.नं.6 ते 8 ब) घेलाभई पहिली स्ट्रीट,म्यु.घ.नं.21 ए 21,19 व | 12-14 क)घेलाभाई दुसरी स्ट्रीट म्यु.घ.नं.2,4 ते 24-42 ड) रिपन | रोड पहिली क्रॉसलेन (दगडी चाळ)  
019-Mohammad_Shaheed_Marg_(Moreland_Road).pdf,1,0019,यादी भागाच्या हद्दीचा तपशील अ) मोहम्मद उमर रजब रोड | म्यु.घ.नं.5 ते 23 ब) शेख हाफीजुद्दीन मार्ग (साखळी स्ट्रीट) मूळ गांव/शहर . | म्यु.घ.नं.70 ते 84 क) घेलाभाई 1 ली स्ट्रीट म्यु.घ.नं.1 ते 17 सजा | 
020-Mohammad_Shaheed_Marg_(Moreland_Road).pdf,1,,यादी भागाच्या हद्दीचा तपशील अ) मोहम्मद शाहिद मार्ग (मोरलॅण्ड | रोड)म्यु घ.नं.93 ते 97 बौ ब) मौलना आझाद रोड म्यु.घ.नॅ.200 ते. [TI | 218 ए. सजा | 
021-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0021,यादी भागाच्या हद्दीचा तपशील अ)दुसरी घेलाभाई स्ट्रीट म्यु.घ.नं.1 | ते 35 ब) मोहम्मद उमर रजब रोड म्यु.घ.नं.22 सी हुसेन बिल्डींग | आणि 22 डी हुसेन बिल्डींग क)मोहम्मद स्ट्रीट (गोस्त बाजार ) छोटी सजा | कमल बिल्ंग aterm मंजिल बिलिंग (डी) 
022-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0022,यादी भागाच्या हद्दीचा तपशील अ)घेलाभाई तिसरी स्ट्रीट ब) | मोहमेडन स्ट्रीट (गोस्त बाजार रहेमान बिल्डींग रसुल बिल्डींग आणि | STRAT मंझील बिल्डींग  
023-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0023,"यादी भागाच्या हद्दीचा तपशील अ)सिद्धीक लेन,ब) महंमद उमर | रजब रोड,म्यु.घ.नं.2 ते 22 बी हुसेन बिल्डींग  
024-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0024,यादी भागाच्या हद्दीचा तपशील अ)मौलाना आझाद रोड | म्यु.घ.नं.122 ते 196 ब ) जहांगीर बोमन बेहराम मार्ग म्यु.घ.नं.216 | ते 254 क) मौलाना आझाद रोड म्यु.घ.नं.78 ते 94 बी  
025-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0025,"यादी भागाच्या Sala तपशील अ)मोहम्मद उमर रजब रोड | म्यु.घ.नं.25 ते 55 ब)महंमद उमर रजब रोड,म्यु.घ.नं.26 अ ते 52 ए.  
026-2nd_Ghelabhai_Street_Madanpura.pdf,1,,यादी भागाच्या हद्दीचा तपशील अ)शेख हफीज उद्दीन रोड (साखळी | स्ट्रीट ) ग्यु.घ.नं.69 ते अब्दुल हाऊस ब) मौलाना आझाद रोड | म्यु.घ.नं.222 ते 258 क ) मौलाना आझाद रोड म्यु.घ.नं.236 डी ते सजा | पटेल आणि सोनी आर्किटेक 
027-Jehangir_Boman_Behram_Marg.pdf,1,0027,यादी भागाच्या sala तपशील अ) महंमद शहिद मार्ग (मोरलॅण्ड | रोड) म्यु.घ.नं.59 अ ते 65-75 हाजी चाळ ब) जहांगीर बोमन बेहराम मूळ गाव/शहर. | मार्ग म्यु.घ.नं.254 ते 272 ए सजा | 
028-Mirza_Ghalib_Byculla.pdf,1,,यादी भागाच्या हद्दीचा तपशील अ) स्पेन रोड ब) शेफर्ड रोड OW | घ.नं.4 ते 10 क) सर जमशेद जी जिजीभाई रोड म्यु घ.नं.310 ते मूळ गांव/शहर . | 332 सै सजा | 
029-Mirza_Ghalib_Byculla.pdf,1,0029,यादी भागाच्या हद्दीचा तपशील अ) जमशेदजी जिजीभाई | रोडपम्यु.घ.नं.311 ए ते 333 पर्यंत ब) fee चर्च रोड  
030-Mirza_Ghalib_Byculla.pdf,1,0030,यादी भागाच्या हद्दीचा तपशील मिर्जा गालीब मार्ग (क्लेअर रोड) | म्यु.घ.नं.17 ते जेल पोलीस लेन | मूळ गांब/शहर . | 
031-Sant_Savata_Marg_Byculla.pdf,1,0031,यादी भागाच्या हद्दीचा तपशील अ) संत सावता मार्ग म्यु.घ.नं.41 | ते 119 एफ ब) सिताफळबाडी म्यु.घ.नं.1 ते 17 ब-क) संत सावता मूळ ताव शहर. | मार्ग म्यु.घ.नं.95 ते 167 आणि मशिना हॉस्पीटल नर्स कवार्टर्स ड) सजा | सिताफळ बाडी म्यु.घ.नं.2 ते 24 
032-Sant_Savata_Marg_Byculla.pdf,1,0032,यादी भागाच्या हद्दीचा तपशील अ) डॉ.बाबासाहेब आंबेडकर रोड | म्यु घ.नं.267 ते 297 ब) डॉ.बाबासाहेब आंबेडकर रोड म्यु.घ.क्रं.150 | ते 218 क ) डॉ.मस्करेन्स रोड म्यु.घ.नं.82 ते 128-130 आगाखान | बिल्डिंग  
033-170-192_Dr_Mascarenance_Road_Mazgaon.pdf,1,0033,"यादी भागाच्या Sela तपशील अ) डॉ.मस्करेहन्स रोड | म्यु.घ.नं.138 आदमजी भाई रंगबाला चाळ ते 140 गूरू हिंमत TUTE. | कॉ.ऑ.सो.ब ) म्यु.नं.200 बी सी पदमसी वाडी , म्यु.घ.नं.206 ते सजा | 216 बोमन बेहराम बि.क) म्यु.घ.नं.142 ते 154 न्यू चाळ श्रॉफ मंडळ | बिल्डींग ते म्यु.घ.नं.200 मन्जी मेन्शन 
034-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0034,यादी भागाच्या हद्दीचा तपशील अ) शेठ मोती शाह लेन | म्यु.घ.नं.108 ते 134 ब) डी.एन.सिंग रोड (हाथीबाग लेन ) मुळ TARR. | म्यु.घ.नं.11 ते 13 बतुला हाउस — | 
035-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0035,यादी भागाच्या हद्दीचा तपशील अ) शेठ मोतीशाह लेन | म्यु.घ.नं.140 ते 160 ब) शेठ मोतीशाह लेन म्यु घ.नं.114 ते 136 ए | क) डी.एन.सिंह रोड (हाथीबाग लेन ) म्यु घ.नं.105 आणि जवळची | झोपडपट्टी  
036-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0036,यादी भागाच्या हद्दीचा तपशील अ) शेठ मोतीशाह लेन | म्यु.घ.नं.114 ते 134 अ बी.आय.टी.चाळ 3 आणि मागील | झोपडपट्टी ब) डी.एन.सिंग रोड (हाथौबाग लेन) म्यु.घ.नं.51 ते 55 सजा | मंडळ | मूळ गांब/शहर . | तालुका | जिल्हा मुंबई शहर | यादी भागातील सहायकारी | मतदान केंद्राची संख्या : | निरंक | मतदारसंघाचे वर्गीकरण : | शहरी | 3. मतदान केंद्राचा तपशील :
037-136_Sheth_Motishah_Lane_(Love_Lane).pdf,1,,यादी भागाच्या हद्दीचा तपशील अ) शेठ मोती शाह लेन | म्यु.घ.नं.136 ते 138 ब) डी.एन.सिंग रोड (हाथीबाग लेन) म्यु घ.नं.5 मूळ गांब/शहर . | ते91डी सजा | 
038-136_Sheth_Motishah_Lane_(Love_Lane).pdf,1,0038,यादी भागाच्या हद्दीचा तपशील अ) शेठ मोतीशाह लेन | म्यु.घ.नं.105 जे ते 109 सी मुंबई ट्रान्सपोर्ट चाळ ब) शेठ मोतीशाह | लेन म्यु.घ.नं.111-112 मेहता चेंबर्स ते म्यु.घ.नं.189 सिद्धचल दर्शन  
039-136_Sheth_Motishah_Lane_(Love_Lane).pdf,1,0039,यादी भागाच्या हद्दीचा तपशील डी.एन.सिंग रोड (हाथीबाग लेन ) | म्यु.घ.नं.1 ते 29 अ | मूळ गांब/शहर . | 
040-105-C_136_Sheth_Motisha_Lane_(Loe_Lane).pdf",1,0040,यादी भागाच्या हद्दीचा तपशील शेठ मोतीशाह लेन म्यु.घ.नं.5 | रोझारीओ पत्रा चाळ 1 ते 103 ब्राम्हणवाडी चाळ आणि रोड वरील | हॉटेल  
