Filename,Page No.,यादी भाग क्रमांक (Yadi Bhag No.),यादी भागाच्या हद्दीचा तपशील (Content)
012-Cathedral_and_John_Canon_Infant_School_Ground_Floor_Room_No.2_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0012,"a, भागाच्या हद्दीचा तपशील ब) एल. डी. रूपारेल मार्ग, | aa. 1, अजंठा ते म्यु.घ.न. 19 qatar. | एल डी रूपारेल मार्ग ,आशानगर झोपडपट्टी क्रं. 1 ते 102 . | "
013-Cathedral_and_John_Canon_Infant_School_Floor_No._3_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0013,"7 भागाच्या हद्दीचा तपशील लिटील गिब्ज रोड, म्यु.घ.नं. 3 पी | न्यू डी बिल्डिंग ते ऑटोमिक एनर्जी dee कवार्टर्स. "
014-Cathedral_and_John_Canon_Infant_School_Ground_Floor_Hall_A_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0014,"च... भागाच्या Sera तपशील "" | अ) लिटील गिब्ज रोड, म्यु.घ.नं. 22 कासा ग्रॅड ते as | मूळ गाव/शहर . | । मनोर बिल्डींग. | एल.डी. रूपारेल मार्ग, म्यु.घ.नं. 51 मलबार अपार्टमेंट ए ते जी. | एल.डी .रूपारेल मार्ग, सिमला हाऊस झोपडपट्टी 234 ते 280 . | लक्ष्मीबाई जगमोहनदास रोड, म्यु.घ.नं.61,जलदर्शन बिल्डिंग 3 ते जलदर्शन बिल्डिंग नं 4. | दारसंघाचे वगीकरण : ।॥ "
015-Cathedral_and_John_Canon_Infant_School_Ground_Floor_Hall_B_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0015,"न. भागाच्या sera तपशील एल.डी .रूपारेल मार्ग, गोदरेज बाग | "
016-Cathedral_and_John_Canon_Infant_School_Ground_Floor_Hall_K_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0016,"न. भागाच्या Sela तपशील एल.डी .रूपारेल मार्ग, मेहरीना ए | . हाऊसिंग मळ गांव/शहर . | सिमला हाऊसिंग सोसायटी (ई). र | "
017-Cathedral_and_John_Canon_Infant_School_1st_Floor_Open_No.1_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0017,"न. भागाच्या हद्दीचा तपशील एल. डी .रूपारेल मार्ग, सिमला | स झोपडपट्टी झो. क्र. 1 ते 233. पूळ गांव/शह | "
018-Cathedral_and_John_Canon_Infant_School_Ground_Floor_Hall_D_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0018,"as भागाच्या हद्दीचा तपशील एल. डी .रूपारेल मार्ग, सिमला | स झोपडपट्टी, क्र. 281 ते 472 . "
019-Set_Stephen_Church_Hall_August_Kranti_Marg_Mumbai-36.pdf,1,0019,"nee भागाच्या हद्दीचा तपशील लक्ष्मीबाई जगमोहनदास मार्ग, | la . = बिल्डिंग घ.नं.1 सेंट स्टीफ़न चर्च ते म्यु.घ.नं. 37 डी बेल माउंट बिल्डिंग. पळ TAR | "
020-Cathedral_and_John_Canon_Infant_School_1st_Floor_Open_No.2_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0020,"न. भागाच्या हद्दीचा तपशील लक्ष्मीबाई जगमोहनदास मार्ग, | . . बिल्डिंग न॑ मूळ गांव/शहर. | घ.नं.43 मातृ आशिष ते म्यु.घ.नं. 41, जलदर्शन बिल्डिंग नं. 2. (शह | "
021-Gopi_Birla_Memorial_(Public)_School_Ground_Floor_Khali_No._Walkeshwar_Road_Mumbai-6.pdf,1,0021,"az भागाच्या हद्दीचा तपशील वाळकेश्वर रोड, म्यु.घ.नं. 2 | . . चंद भुवन ते म्यु.घ.नं. 50 गुरूमहाराज चाळ. ट्‌ | "
022-Gopi_Birla_Memorial_(Public)_School_Ground_Floor_Block_No._B_Walkeshwar_Road_Mumbai-6.pdf,1,0022,"—, भागाच्या हद्दीचा तपशील वाळकेश्वर रोड, म्यु.घ.न. 52, | नजी प्रेमजी बिल्डींग ते म्यु.घ.नं.66 , त्रिवेणी बिल्डिंग 'जी' | "
023-Set_Hansraj_Shroff_Building_Shishu_Shikshan_Mandir_Walkeshwar_Road_Mumbai_400_006.pdf,1,0023,"नि भागाच्या हद्दीचा तपशील वाळकेश्वर रोड, म्यु.घ.नं.68 गोपी | at मेमोरीयल (पब्लिक) स्कूल ते म्यु.घ.नं.124-126 अजंठा | ार्टमेंट.| "
024-Gopi_Birla_Memorial_(Public)_School_Vacant_Block_Walkeshwar_Road_Mumbai-6.pdf,1,0024,"__ भागाच्या हद्दीचा तपशील वाळकेश्वर रोड, म्यु.घ.नं.55, | . भाग्य महल ते म्यु.घ.नं. 87 जयभवन. 4 | "
025-Gopi_Birla_Memorial_(Public)_School_Khali_Cr._Walkeshwar_Road_Mumbai-6.pdf,1,0025,"न. भागाच्या Serer तपशील वाळकेश्वर रोड म्यु.घ.नं.91गोल्ड | . कॉन्सुलेट फ्ट ते म्यु.घ.नं.115 अफगान , गे | "
026-Raj_Bhawan_Municipal_Primary_Marathi_School_(Juni)_Walkeshwar_Road_Mumbai-6.pdf,1,0026,"a वाळकेश्वर रोड, म्यु.घ.नं.175 नवयुग चाळ ते नाथ स्मृती. | मूळ गाव/शहर . | वाळकेश्वर रोड, म्यु.घ.नं.231ललित स्मृती ते म्यु.घ.नं. 257 सारस्वत बिल्डींग. | वाळकेश्वर रोड, म्यु.घ.नं.128 वेद महाल ते म्यु.घ.नं.148 अनिल निवास. | शांताराम नारायण लेन, म्यु.घ.नं.138 दौलत चंद झवेरी बिल्डिंग ते म्यु.घ.नं.233अ कोहली | "
027-Raj_Bhavan_Municipal_Primary_Marathi_School_(Juni)_Walkeshwar_Road_Mumbai-6.pdf,1,0027,"__ भागाच्या हद्दीचा तपशील वाळकेश्वर रोड, म्यु.घ.नं.261 | टरी चाळ ते पी.डब्लु.डी .चौकी. मूळ गांब/शहर . | "
028-Kambala_Hill_English_School_Gr.Flr_Hall_(North_Side)_Darbasha_Road_Mumbai-400_006.pdf,1,,एकूण ( THI-I ) | 582) 1190 | ब) सुधारणांची संख्या | यादीचे स्वरुप मतदार यादीची ओळख एकूण सुधारणा | "
029-Kambala_Hill_English_School_Gr.Flr_Hall_(South_Side)_Darbasha_Road_Mumbai-400_006.pdf,1,,ब) सुधारणांची संख्या | यादीचे स्वरुप मतदार यादीची ओळख एकूण सुधारणा | | खूण | "
030-Kambala_Hill_English_School_Gr.Flr_Hall_Open_No.1_(Mangal_Kunj_Building)_Bhausaheb_Hire_Marg_Mumbai-400_006.pdf,1,0030,"nee भागाच्या हद्दीचा तपशील अ) बाळगंगाधर खेर मार्ग | .घ.नं.18 रिज अपार्टमेंट ते म्य.घ.नं.40 दिल खुश. | भाऊसाहेब हिरे मार्ग, म्यु.घ.नं.10 सुंदत्ता अपार्टमेंट ते म्यु.घ.नं.12 | टो सर्वट क्वॉर्टर्स. | "
031-Kambala_Hill_English_School_Gr.Flr_Hall_Open_No.2_(Mangal_Kunj_Building)_Bhausaheb_Hire_Marg_Mumbai-400_006.pdf,1,0031,"meee भागाच्या हद्दीचा तपशील भाऊसाहेब हिरे मार्ग, म्यु.घ.नं.12 | अपार्टमेंट . अपार्टमेंट न अपार्टमेंट अ- ते म्यु.घ.नं.19 मानस सरोवर , t | "
032-Kambala_Hill_English_School_Gr.Flr_Hall_Open_No.3_(Mangal_Kunj_Building)_Bhausaheb_Hire_Marg_Mumbai-400_006.pdf,1,,ब) सुधारणांची संख्या | यादीचे स्वरुप मतदार यादीची ओळख एकूण सुधारणा | | खूण | "
033-Kambala_Hill_English_School_Gr.Flrl_Majla_E.1_L_(Mangal_Kunj_Building)_Bhausaheb_Hire_Marg_Mumbai-400_006.pdf,1,0033,"जा भागाच्या aT तपशील अ) रतिलाल ठक्कर मार्ग, | घ.नं.254 सुलसा अपार्टमेंट. | एल.डी .रूपारेल मार्ग, म्यु.घ.नं.322 कैलाश निकेतन ते रॉकडेल | ट Fae, | "
034-Kambala_Hill_English_School_Gr.Flrl_Majla_E.2nd_(Mangal_Kunj_Building)_Bhausaheb_Hire_Marg_Mumbai-400_006.pdf,1,0034,"a, भागाच्या हद्दीचा तपशील अ) ग्राहमबेल रोड, म्यु.घ.नं.19 | t महल ते म्यु.घ.नं.10 हिल पार्क. | भाऊसाहेब हिरे मार्ग, म्यु.घ.नं. 9 तोरणा बिल्डींग ते ग्लेनरीज. | "
035-Walsingam_High_School(Tiger_Hall)Gr.Flra_Majla(South)-_A_Lady_Lakshmibai_Jagmohandas_MargMumbai-6.pdf,1,0035,न. भागाच्या हद्दीचा तपशील लक्ष्मीबाई जगमोहनदास मार्ग | . . ब .घ.नं.61 राम मॅन्शन ते म्यु.घ.नं.87 प्रेम मिलन. त | "
036-Walsingam_High_School_(Tiger_Hall)_Ground_Floor_(B)_Lady_Lakshmibai_Jagmohandas_Marg_Mumbai-6..pdf,1,0036,"हल्ल ह... भागाच्या हद्दीचा तपशील अ) TST गली ,जयप्रकाश नगर | यडपटटी . 4 | लक्ष्मीबाई जगमोहनदास मार्ग म्यु.घ.नं.82, जस्मीन लॉज ते | घ.नं. 90 ब शहनाझ सी आणि डी . | "
037-Walsingam_High_School_(Tiger_Hall)_Ground_Floor_(A)_Lady_Lakshmibai_Jagmohandas_Marg_Mumbai-6..pdf,1,,ब) सुधारणांची संख्या | "
038-Walsingham_High_School(Tiger_Hall)_Ground_Floor-(E)Lady_Lakshmibai_Jagmohandas_MargMumbai-6.pdf,1,0038,"न भागाच्या हद्दीचा तपशील लक्ष्मीबाई जगमोहनदास मार्ग, | . . . घ.नं.62 मिस्त्री मनोर ते म्यु.घ.नं.68 ए रूंगठा चाळ. ट्‌ | "
039-Walsingam_High_School(Tiger_Hall)Gr.Flr_-(E)Lady_Lakshmibai_Jagmohandas_MargMumbai-6.pdf,1,0039,"— भागाच्या हद्दीचा तपशील | अ) नारायण दाभोळकर रोड, म्यु.घ.नं.2 निम्फ़ अपार्टमेंट ते | य.नं.4 विधानी अपार्टमेंट. ब) रूगंठा लेन अशोक अपार्टमेंट ते म्यु.घ.नं.68 | न बिल्डींग . | लक्ष्मीबाई जगमोहनदास मार्ग [म्यु.घ.नं.80 स्टार डस्ट अ ते म्यु.घ.नं.80 पेरिना ade कवार्टर्स . | रुंगठा लेन म्यु.घ.नं.68 बी ब्राईटन बिल्डिंग नं.2 ते म्यु.घ.नं.78 सागर कुंज. | "
040-Walsingam_High_School(Tiger_Hall)Gr.Flra_Majla-(F)Lady_Lakshmibai_Jagmohandas_MargMumbai-6.pdf,1,0040,न. भागाच्या हद्दीचा तपशील लक्ष्मीबाई जगमोहनदास मार्ग | मळ गांब/शहर | .घ.नं.80 दर्या महल ए ते बी . पूट /शहर . | "
041-Manav_Mandir_Trust_School_Gr.Flr_Hall_(East_Side)_A_Manav_Mandir_Road_Mumbai-400006.pdf,1,0041,"77 भागाच्या हद्दीचा तपशील अ) लक्ष्मीबाई जगमोहनदास मार्ग, | घ.नं.95 किलाचंद बंगलो ते म्यु.घ.नं.97 चंद्रलोक अ. | लक्ष्मीबाई जगमोहनदास मार्ग, म्यु.घ.नं.94 संधी हाउस ते | घ.नं.100 उद्यान ade Fares . | "
042-Manav_Mandir_Trust_School_Gr.Flr_Hall_(East_Side)_B_Manav_Mandir_Road_Mumbai-400006.pdf,1,0042,"nee भागाच्या हद्दीचा तपशील अ) बाळ गंगाधर खेर | ,म्यु.घ.नं.42 we अपार्टमेंट ते म्यु.घ.नं. 56 एल.आय.सी | ल्ंग ब) मानव मंदीर रोड,म्यु.घ.नं.6 , खटाव बंगला ते | घ.नं.10 शकुंतला बिल्डिंग. | "
